Дата,T
2018-01-04,-14.1
2018-01-05,-16.9
2018-01-06,-13.3
2018-01-07,-12.8
2018-01-08,-15.4
2018-01-09,-6.2
2018-01-10,-1.5
2018-01-11,-9.5
2018-01-12,-15.0
2018-01-13,-24.0
2018-01-14,-25.0
2018-01-15,-22.6
2018-01-16,-21.4
2018-01-17,-18.9
2018-01-18,-18.6
2018-01-19,-17.5
2018-01-20,-21.2
2018-01-21,-23.4
2018-01-22,-34.7
2018-01-23,-33.2
2018-01-24,-29.8
2018-01-25,-31.4
2018-01-26,-29.8
2018-01-27,-26.5
2018-01-28,-25.0
2018-01-29,-21.0
2018-01-30,-20.8
2018-01-31,-13.2
2018-02-01,-16.9
2018-02-02,-13.5
2018-02-03,-11.4
2018-02-04,-12.8
2018-02-05,-14.4
2018-02-06,-16.7
2018-02-07,-14.7
2018-02-08,-14.9
2018-02-09,-11.8
2018-02-10,-15.4
2018-02-11,-15.9
2018-02-12,-13.4
2018-02-13,-12.8
2018-02-14,-19.5
2018-02-15,-19.6
2018-02-16,-19.7
2018-02-17,-16.9
2018-02-18,-19.4
2018-02-19,-17.5
2018-02-20,-10.9
2018-02-21,-5.3
2018-02-22,-12.8
2018-02-23,-12.7
2018-02-24,-12.3
2018-02-25,-11.4
2018-02-26,-5.2
2018-02-27,-6.4
2018-02-28,-7.0
2018-03-01,-17.8
2018-03-02,-19.9
2018-03-03,-14.2
2018-03-04,-11.0
2018-03-05,-7.2
2018-03-06,-0.6
2018-03-07,-12.0
2018-03-08,-13.7
2018-03-09,-6.8
2018-03-10,-8.5
2018-03-11,-13.0
2018-03-12,-14.2
2018-03-13,-10.4
2018-03-14,-5.6
2018-03-15,-10.9
2018-03-16,-11.7
2018-03-17,-8.5
2018-03-18,-1.5
2018-03-19,-3.8
2018-03-20,-7.9
2018-03-21,1.5
2018-03-22,3.7
2018-03-23,-0.1
2018-03-24,-4.9
2018-03-25,-1.9
2018-03-26,-4.0
2018-03-27,-2.3
2018-03-28,-2.4
2018-03-29,0.2
2018-03-30,-5.6
2018-03-31,-8.0
2018-04-01,-7.7
2018-04-02,-5.3
2018-04-03,-2.2
2018-04-04,-0.6
2018-04-05,2.9
2018-04-06,3.2
2018-04-07,1.4
2018-04-08,3.2
2018-04-09,2.0
2018-04-10,1.8
2018-04-11,4.8
2018-04-12,9.6
2018-04-13,6.0
2018-04-14,2.5
2018-04-15,4.0
2018-04-16,6.5
2018-04-17,3.9
2018-04-18,3.8
2018-04-19,0.7
2018-04-20,8.5
2018-04-21,12.6
2018-04-22,12.0
2018-04-23,12.4
2018-04-24,10.3
2018-04-25,5.5
2018-04-26,6.3
2018-04-27,7.9
2018-04-28,8.5
2018-04-29,15.0
2018-04-30,12.6
2018-05-01,7.8
2018-05-02,5.9
2018-05-03,8.1
2018-05-04,15.8
2018-05-05,4.2
2018-05-06,1.9
2018-05-07,6.9
2018-05-08,10.5
2018-05-09,7.6
2018-05-10,12.1
2018-05-11,12.3
2018-05-12,9.6
2018-05-13,5.7
2018-05-14,9.7
2018-05-15,9.5
2018-05-16,11.7
2018-05-17,5.7
2018-05-18,10.4
2018-05-19,7.4
2018-05-20,14.7
2018-05-21,20.5
2018-05-22,14.7
2018-05-23,7.9
2018-05-24,12.0
2018-05-25,20.6
2018-05-26,21.6
2018-05-27,3.4
2018-05-28,11.9
2018-05-29,13.3
2018-05-30,8.7
2018-05-31,14.0
2018-06-01,20.0
2018-06-02,14.8
2018-06-03,9.5
2018-06-04,14.5
2018-06-05,20.9
2018-06-06,24.5
2018-06-07,25.6
2018-06-08,20.8
2018-06-09,13.9
2018-06-10,16.6
2018-06-11,20.1
2018-06-12,18.4
2018-06-13,13.9
2018-06-14,17.1
2018-06-15,21.7
2018-06-16,16.9
2018-06-17,16.6
2018-06-18,18.6
2018-06-19,17.6
2018-06-20,18.9
2018-06-21,23.6
2018-06-22,19.9
2018-06-23,19.4
2018-06-24,19.1
2018-06-25,18.2
2018-06-26,17.5
2018-06-27,16.3
2018-06-28,17.6
2018-06-29,19.6
2018-06-30,22.7
2018-07-01,20.7
2018-07-02,22.8
2018-07-03,21.0
2018-07-04,18.4
2018-07-05,22.2
2018-07-06,24.6
2018-07-07,24.9
2018-07-08,24.7
2018-07-09,27.1
2018-07-10,23.9
2018-07-11,23.8
2018-07-12,24.0
2018-07-13,22.8
2018-07-14,21.6
2018-07-15,20.9
2018-07-16,22.2
2018-07-17,22.2
2018-07-18,23.6
2018-07-19,24.6
2018-07-20,26.0
2018-07-21,23.4
2018-07-22,14.0
2018-07-23,11.3
2018-07-24,12.3
2018-07-25,18.5
2018-07-26,19.5
2018-07-27,22.3
2018-07-28,20.0
2018-07-29,22.6
2018-07-30,22.2
2018-07-31,15.4
2018-08-01,16.1
2018-08-02,19.8
2018-08-03,20.4
2018-08-04,20.9
2018-08-05,21.2
2018-08-06,21.2
2018-08-07,21.7
2018-08-08,24.4
2018-08-09,27.0
2018-08-10,22.8
2018-08-11,16.7
2018-08-12,14.5
2018-08-13,19.9
2018-08-14,22.5
2018-08-15,23.4
2018-08-16,19.9
2018-08-17,18.6
2018-08-18,22.1
2018-08-19,19.3
2018-08-20,16.5
2018-08-21,10.7
2018-08-22,16.5
2018-08-23,20.8
2018-08-24,17.8
2018-08-25,11.3
2018-08-26,12.0
2018-08-27,12.5
2018-08-28,14.1
2018-08-29,13.8
2018-08-30,14.2
2018-08-31,11.0
